C6H6(GT)
11,9
9,4
9
9,2
6,5
4,7
3,6
3,3
2,3
1,7
1,3
1,1
1,6
3,2
8
9,5
6,3
5
5,2
7,3
11,5
8,8
8,3
11,2
20,8
27,4
24
12,8
4,7
2,6
5,9
6,4
4,1
1,9
1,1
1
1,8
4,4
17,9
22,1
14
11,6
10,2
11
12,8
14,2
12,7
11,7
19,3
18,2
32,6
20,1
14,3
21,8
9,6
7,4
5,4
5,4
6,2
2,6
2,9
5,1
11,8
15,1
12,9
16,1
14
12,3
8,6
9,2
10,2
10,6
15,5
19,6
19,2
18,3
13,1
10,9
11
11,9
8,6
9,7
5,2
3,7
2,5
2,4
4,2
6,4
8,6
10,9
10,7
7,5
7,5
8,2
11,9
12
12,2
20,6
23,1
14,7
9
8,8
7,4
6,9
7
4,4
4
3,9
6,4
9,7
25,9
36,7
26,6
20,1
14,1
14,9
15,4
12,1
11,5
14,8
32,1
39,2
31
19,9
15,3
6,9
11,1
5,4
2,8
2,3
2,6
2
3,5
5,1
16,2
19,7
25,1
20
18,3
22,3
20,4
14,6
16,6
15,8
17,8
19,1
15,8
24,9
13,5
9,1
8,6
5,4
4,1
2,6
1,9
1,6
1,9
7,5
21,4
36,4
21,3
15,4
12,5
15,1
13,7
10,4
15,2
12,3
27
38,4
35,1
27,2
15
15,7
13
8,1
5,5
3,6
2,9
2,5
3
7,7
23,3
35,8
21,3
14,3
12,5
12,2
13,1
14,4
16,8
14,5
21,5
26,4
26
14,1
10,3
8,3
8,9
6,6
3,6
2,5
1,8
1,3
2,3
6,7
22,8
31,3
19,2
16,4
14
15,3
16,7
19
19,4
20,9
20,2
21,7
19,8
16,7
9,1
8,3
5,8
5,2
4,1
3,4
2,9
3,1
2,5
4,3
8,9
10,5
12,5
12,3
11,7
11,7
9,3
7,6
6,7
9,7
12,4
16,6
16,4
13,7
9,9
8,9
10,6
7,4
6,2
6,5
5,8
4
2,1
3,6
4,4
5,4
7,1
7,3
7,6
6,8
4,6
8,4
6,9
9
15,1
12,6
15,1
9,9
8
7,9
6,1
5,1
1,7
0,7
0,8
0,7
2
5,1
17,7
18,4
6,9
7,3
9,6
10,4
11,2
10,7
11,6
12,4
18,3
21
21
14,5
8,4
4,3
3,8
2,7
2,5
1,2
0,8
0,6
1,8
4,6
14,2
21
16,2
15,5
13,4
16,9
12,4
10,1
8,7
13,8
9,3
13
14,3
7,6
5,3
5,4
4,9
4,6
2,7
1,6
1,7
1,2
1,7
4,8
13,8
23,7
14,2
8
6,7
8,7
10,8
6,7
11,4
13,4
12
20,2
14,4
9,4
5,9
4,5
4,5
2,5
1,8
1,4
0,9
0,6
1,4
3,8
11,6
17,8
8,8
6,8
5,9
8,9
8,2
8,6
10,1
9,4
14,6
24,6
21,6
10,3
5,7
4,5
5,5
4,8
3,6
1,7
2,2
3
4
6,7
16,7
19,3
14,8
13,4
11
12,5
8,4
5,3
8,8
11,2
11,6
12,4
10,6
6
4,6
4,1
5,2
3,2
4,5
3,8
3,8
1,9
2,4
3,3
6,7
8,5
9,7
9,4
9
10
12,6
7,6
11,8
11,2
12,4
12,9
12,2
8,8
6,8
8,6
8,9
8,3
6,3
8,3
5,1
2,6
3,6
